ID,Glottocode,Parameter_ID,Value,Coder,Source
agua1253-coargument-sensitivity indexing,agua1253,coargument-sensitivity indexing,no,AWM;DI;MV,overall2017aguaruna[233-272]
ainu1240-flagging,ainu1240,flagging,False,AWM,tamura2000ainu[25-92]
ainu1240-indexing,ainu1240,indexing,True,AN;AWM,tamura2000ainu[25-92]
ainu1240-indexing-features,ainu1240,indexing-features,person+number,AN;AWM,tamura2000ainu[25-92]
ainu1240-tam-split,ainu1240,tam-split,False,AN;AWM,bugaeva2012southern[472-473];tamura2000ainu[25-92]
ainu1240-split-s,ainu1240,split-s,False,AN;AWM,bugaeva2012southern[472-473];tamura2000ainu[25-92]
ainu1240-coargument-sensitivity flagging,ainu1240,coargument-sensitivity flagging,no,AN;AWM,bugaeva2012southern[472-473];tamura2000ainu[25-92]
ainu1240-coargument-sensitivity indexing,ainu1240,coargument-sensitivity indexing,yes,AN;AWM,bugaeva2012southern[472-473];tamura2000ainu[25-92]
akab1249-flagging,akab1249,flagging,True,AWM,zamponi2020akabea[166-170]
akab1249-indexing,akab1249,indexing,False,AWM;DI;MV,zamponi2020akabea[166-170]
akab1249-indexing-features,akab1249,indexing-features,NA,AWM;DI;MV,zamponi2020akabea[166-170]
akab1249-tam-split,akab1249,tam-split,False,AWM;DI;MV,zamponi2020akabea[166-171]
akab1249-split-s,akab1249,split-s,False,AWM;DI;MV,zamponi2020akabea[166-171]
akab1249-coargument-sensitivity flagging,akab1249,coargument-sensitivity flagging,no,AWM;DI;MV,zamponi2020akabea[166-171]
akab1249-coargument-sensitivity indexing,akab1249,coargument-sensitivity indexing,no,AWM;DI;MV,zamponi2020akabea[166-171]
alam1246-flagging,alam1246,flagging,False,AN,bruce1984alamblak[2]
alam1246-indexing,alam1246,indexing,True,AN,bruce1984alamblak[2]
alam1246-indexing-features,alam1246,indexing-features,person+number,AN,bruce1984alamblak[2]
alam1246-tam-split,alam1246,tam-split,False,AN,"bruce1984alamblak[147-148,2]"
alam1246-split-s,alam1246,split-s,False,AN,"bruce1984alamblak[147-148,2]"
alam1246-coargument-sensitivity flagging,alam1246,coargument-sensitivity flagging,no,AN,"bruce1984alamblak[147-148,2]"
alam1246-coargument-sensitivity indexing,alam1246,coargument-sensitivity indexing,no,AN,"bruce1984alamblak[147-148,2]"
aleu1260-flagging,aleu1260,flagging,True,DI,"bergsland1997aleut[126,47,54,56-58]"
aleu1260-indexing,aleu1260,indexing,True,DI,"bergsland1997aleut[126,47,54,56-58]"
aleu1260-indexing-features,aleu1260,indexing-features,person+number,DI,"bergsland1997aleut[126,47,54,56-58]"
aleu1260-tam-split,aleu1260,tam-split,False,DI,"bergsland1981atkan[8-19];bergsland1997aleut[126,47,54,56-58]"
aleu1260-split-s,aleu1260,split-s,False,DI,"bergsland1981atkan[8-19];bergsland1997aleut[126,47,54,56-58]"
aleu1260-coargument-sensitivity flagging,aleu1260,coargument-sensitivity flagging,no,DI,"bergsland1981atkan[8-19];bergsland1997aleut[126,47,54,56-58]"
aleu1260-coargument-sensitivity indexing,aleu1260,coargument-sensitivity indexing,no,DI,"bergsland1981atkan[8-19];bergsland1997aleut[126,47,54,56-58]"
alse1251-flagging,alse1251,flagging,True,AWM;HT,"frachtenberg1918alsea[262,283,390-394,404,62-64]"
alse1251-indexing,alse1251,indexing,True,AN;HT,"frachtenberg1918alsea[262,283,390-394,404,62-64]"
alse1251-indexing-features,alse1251,indexing-features,person;person+number,AN;HT,"frachtenberg1918alsea[262,283,390-394,404,62-64]"
alse1251-tam-split,alse1251,tam-split,False,AN;AWM;HT,"frachtenberg1918alsea[127-129,132,135-136,138,262,283,390-394,404,62-64]"
alse1251-split-s,alse1251,split-s,False,AN;AWM;HT,"frachtenberg1918alsea[127-129,132,135-136,138,262,283,390-394,404,62-64]"
alse1251-coargument-sensitivity flagging,alse1251,coargument-sensitivity flagging,no,AN;AWM;HT,"frachtenberg1918alsea[127-129,132,135-136,138,262,283,390-394,404,62-64]"
alse1251-coargument-sensitivity indexing,alse1251,coargument-sensitivity indexing,yes,AN;AWM;HT,"frachtenberg1918alsea[127-129,132,135-136,138,262,283,390-394,404,62-64]"
amar1274-flagging,amar1274,flagging,True,HT,"chavez1984amarakaeri[165,253-254,432,441,492]"
amar1274-indexing,amar1274,indexing,True,DI;HT,"chavez1984amarakaeri[165,253-254,432,441,492]"
amar1274-indexing-features,amar1274,indexing-features,person+number,DI;HT,"chavez1984amarakaeri[165,253-254,432,441,492]"
amar1274-tam-split,amar1274,tam-split,False,DI;HT,"chavez1984amarakaeri[165,253-254,432,441,492];vanlinden2012morphology"
amar1274-split-s,amar1274,split-s,False,DI;HT,"chavez1984amarakaeri[165,253-254,432,441,492];vanlinden2012morphology"
amar1274-coargument-sensitivity flagging,amar1274,coargument-sensitivity flagging,no,DI;HT,"chavez1984amarakaeri[165,253-254,432,441,492];vanlinden2012morphology"
amar1274-coargument-sensitivity indexing,amar1274,coargument-sensitivity indexing,yes,DI;HT,"chavez1984amarakaeri[165,253-254,432,441,492];vanlinden2012morphology"
ando1256-flagging,ando1256,flagging,False,MV;NCP,"landaburu1979andoke[107,156]"
ando1256-indexing,ando1256,indexing,True,AWM;NCP,"landaburu1979andoke[107,156]"
ando1256-indexing-features,ando1256,indexing-features,gender;person+number,AWM;NCP,"landaburu1979andoke[107,156]"
ando1256-tam-split,ando1256,tam-split,False,AWM;MV;NCP,"landaburu1979andoke[107,156,179-180,211-213,217-219,228-229,231-232]"
ando1256-split-s,ando1256,split-s,False,AWM;MV;NCP,"landaburu1979andoke[107,156,179-180,211-213,217-219,228-229,231-232]"
ando1256-coargument-sensitivity flagging,ando1256,coargument-sensitivity flagging,no,AWM;MV;NCP,"landaburu1979andoke[107,156,179-180,211-213,217-219,228-229,231-232]"
ando1256-coargument-sensitivity indexing,ando1256,coargument-sensitivity indexing,no,AWM;MV;NCP,"landaburu1979andoke[107,156,179-180,211-213,217-219,228-229,231-232]"
apur1254-flagging,apur1254,flagging,False,DI,"facundes2000apurina[149f,345-346]"
apur1254-indexing,apur1254,indexing,True,AWM;DI;MV,"facundes2000apurina[149f,345-346]"
apur1254-indexing-features,apur1254,indexing-features,person+number,AWM;DI;MV,"facundes2000apurina[149f,345-346]"
apur1254-tam-split,apur1254,tam-split,False,AWM;DI;MV,"facundes2000apurina[149f,271,278f,345-346,406]"
apur1254-split-s,apur1254,split-s,True,AWM;DI;MV,"facundes2000apurina[149f,271,278f,345-346,406]"
apur1254-coargument-sensitivity flagging,apur1254,coargument-sensitivity flagging,no,AWM;DI;MV,"facundes2000apurina[149f,271,278f,345-346,406]"
apur1254-coargument-sensitivity indexing,apur1254,coargument-sensitivity indexing,no,AWM;DI;MV,"facundes2000apurina[149f,271,278f,345-346,406]"
ariz1237-flagging,ariz1237,flagging,True,DI,"kroskrity1977arizonatewa[107,117,170,179,86]"
ariz1237-indexing,ariz1237,indexing,True,DI,"kroskrity1977arizonatewa[107,117,170,179,86]"
ariz1237-indexing-features,ariz1237,indexing-features,person;person+number,DI,"kroskrity1977arizonatewa[107,117,170,179,86]"
ariz1237-tam-split,ariz1237,tam-split,False,DI,"kroskrity1977arizonatewa[107,117,170,179,86];zuniga2002inverse[184-187]"
ariz1237-split-s,ariz1237,split-s,False,DI,"kroskrity1977arizonatewa[107,117,170,179,86];zuniga2002inverse[184-187]"
ariz1237-coargument-sensitivity flagging,ariz1237,coargument-sensitivity flagging,yes,DI,"kroskrity1977arizonatewa[107,117,170,179,86];zuniga2002inverse[184-187]"
ariz1237-coargument-sensitivity indexing,ariz1237,coargument-sensitivity indexing,yes,DI,"kroskrity1977arizonatewa[107,117,170,179,86];zuniga2002inverse[184-187]"
awac1239-flagging,awac1239,flagging,True,AWM;HT,"curnow1997awacuaiquer[64-65,85-86]"
awac1239-indexing,awac1239,indexing,True,AWM;DI;MV,"curnow1997awacuaiquer[64-65,85-86]"
awac1239-indexing-features,awac1239,indexing-features,person,AWM;DI;MV,"curnow1997awacuaiquer[64-65,85-86]"
awac1239-tam-split,awac1239,tam-split,False,AWM;DI;HT;MV,"curnow1997awacuaiquer[189-198,64-65,85-86]"
awac1239-split-s,awac1239,split-s,True,AWM;DI;HT;MV,"curnow1997awacuaiquer[189-198,64-65,85-86]"
awac1239-coargument-sensitivity flagging,awac1239,coargument-sensitivity flagging,no,AWM;DI;HT;MV,"curnow1997awacuaiquer[189-198,64-65,85-86]"
awac1239-coargument-sensitivity indexing,awac1239,coargument-sensitivity indexing,yes,AWM;DI;HT;MV,"curnow1997awacuaiquer[189-198,64-65,85-86]"
awet1244-flagging,awet1244,flagging,False,NCP,"reiter2011aweti[107-109,99]"
awet1244-indexing,awet1244,indexing,True,AWM;NCP,"reiter2011aweti[107-109,99]"
awet1244-indexing-features,awet1244,indexing-features,person;person+number,AWM;NCP,"reiter2011aweti[107-109,99]"
awet1244-tam-split,awet1244,tam-split,False,AWM;NCP,"reiter2011aweti[107-109,114,117,99]"
awet1244-split-s,awet1244,split-s,True,AWM;NCP,"reiter2011aweti[107-109,114,117,99]"
awet1244-coargument-sensitivity flagging,awet1244,coargument-sensitivity flagging,no,AWM;NCP,"reiter2011aweti[107-109,114,117,99]"
awet1244-coargument-sensitivity indexing,awet1244,coargument-sensitivity indexing,yes,AWM;NCP,"reiter2011aweti[107-109,114,117,99]"
ayor1240-flagging,ayor1240,flagging,False,HT,"bertinetto2009ayoreo[17-18,31-32,40]"
ayor1240-indexing,ayor1240,indexing,True,HT,"bertinetto2009ayoreo[17-18,31-32,40]"
ayor1240-indexing-features,ayor1240,indexing-features,person+number,HT,"bertinetto2009ayoreo[17-18,31-32,40]"
ayor1240-tam-split,ayor1240,tam-split,True,HT,"bertinetto2009ayoreo[17-18,31-32,40];ciucci2013inflectional[38-39,42]"
ayor1240-split-s,ayor1240,split-s,False,HT,"bertinetto2009ayoreo[17-18,31-32,40];ciucci2013inflectional[38-39,42]"
ayor1240-coargument-sensitivity flagging,ayor1240,coargument-sensitivity flagging,no,HT,"bertinetto2009ayoreo[17-18,31-32,40];ciucci2013inflectional[38-39,42]"
ayor1240-coargument-sensitivity indexing,ayor1240,coargument-sensitivity indexing,no,HT,"bertinetto2009ayoreo[17-18,31-32,40];ciucci2013inflectional[38-39,42]"
bamb1269-flagging,bamb1269,flagging,False,MV,"dumestre2003bambara[127-128,179-180,39]"
bamb1269-indexing,bamb1269,indexing,False,AWM;DI;MV,"dumestre2003bambara[127-128,179-180,39]"
bamb1269-indexing-features,bamb1269,indexing-features,NA,AWM;DI;MV,"dumestre2003bambara[127-128,179-180,39]"
bamb1269-tam-split,bamb1269,tam-split,False,AWM;DI;MV,"dumestre2003bambara[127-128,179-180,39]"
bamb1269-split-s,bamb1269,split-s,False,AWM;DI;MV,"dumestre2003bambara[127-128,179-180,39]"
bamb1269-coargument-sensitivity flagging,bamb1269,coargument-sensitivity flagging,no,AWM;DI;MV,"dumestre2003bambara[127-128,179-180,39]"
bamb1269-coargument-sensitivity indexing,bamb1269,coargument-sensitivity indexing,no,AWM;DI;MV,"dumestre2003bambara[127-128,179-180,39]"
bang1363-flagging,bang1363,flagging,False,HT,"heath2018bangime[350,394,443,452,55]"
bang1363-indexing,bang1363,indexing,True,HT,"heath2018bangime[350,394,443,452,55]"
bang1363-indexing-features,bang1363,indexing-features,person,HT,"heath2018bangime[350,394,443,452,55]"
bang1363-tam-split,bang1363,tam-split,False,HT,"heath2018bangime[10-12,273,323,350,394,443,452,55]"
bang1363-split-s,bang1363,split-s,False,HT,"heath2018bangime[10-12,273,323,350,394,443,452,55]"
bang1363-coargument-sensitivity flagging,bang1363,coargument-sensitivity flagging,no,HT,"heath2018bangime[10-12,273,323,350,394,443,452,55]"
bang1363-coargument-sensitivity indexing,bang1363,coargument-sensitivity indexing,no,HT,"heath2018bangime[10-12,273,323,350,394,443,452,55]"
bard1255-flagging,bard1255,flagging,True,HT,"bowern2012bardi[195-196,202-203,287-288]"
bard1255-indexing,bard1255,indexing,True,HT,"bowern2012bardi[195-196,202-203,287-288]"
bard1255-indexing-features,bard1255,indexing-features,person+number,HT,"bowern2012bardi[195-196,202-203,287-288]"
bard1255-tam-split,bard1255,tam-split,False,HT,"bowern2012bardi[195-196,202-203,287-288,364,394,396,399-402]"
bard1255-split-s,bard1255,split-s,False,HT,"bowern2012bardi[195-196,202-203,287-288,364,394,396,399-402]"
bard1255-coargument-sensitivity flagging,bard1255,coargument-sensitivity flagging,no,HT,"bowern2012bardi[195-196,202-203,287-288,364,394,396,399-402]"
bard1255-coargument-sensitivity indexing,bard1255,coargument-sensitivity indexing,no,HT,"bowern2012bardi[195-196,202-203,287-288,364,394,396,399-402]"
basq1248-flagging,basq1248,flagging,True,DI;NCP,"hualde2003basque[171-179,363-364];zuniga2019basque[186-187]"
basq1248-indexing,basq1248,indexing,True,DI;NCP,"hualde2003basque[171-179,363-364];zuniga2019basque[186-187]"
basq1248-indexing-features,basq1248,indexing-features,person;person+number,DI;NCP,"hualde2003basque[171-179,363-364];zuniga2019basque[186-187]"
basq1248-tam-split,basq1248,tam-split,True,DI;NCP,"hualde2003basque[171-179,363-364];zuniga2019basque[186-187]"
basq1248-split-s,basq1248,split-s,True,DI;NCP,"hualde2003basque[171-179,363-364];zuniga2019basque[186-187]"
basq1248-coargument-sensitivity flagging,basq1248,coargument-sensitivity flagging,no,DI;NCP,"hualde2003basque[171-179,363-364];zuniga2019basque[186-187]"
basq1248-coargument-sensitivity indexing,basq1248,coargument-sensitivity indexing,yes,DI;NCP,"hualde2003basque[171-179,363-364];zuniga2019basque[186-187]"
bell1243-flagging,bell1243,flagging,False,AWM,davis1997bellacoola[23-30]
bell1243-indexing,bell1243,indexing,True,AWM,davis1997bellacoola[23-30]
bell1243-indexing-features,bell1243,indexing-features,person+number,AWM,davis1997bellacoola[23-30]
bell1243-tam-split,bell1243,tam-split,False,AWM,"davis1997bellacoola[23-30,41-49]"
bell1243-split-s,bell1243,split-s,False,AWM,"davis1997bellacoola[23-30,41-49]"
bell1243-coargument-sensitivity flagging,bell1243,coargument-sensitivity flagging,no,AWM,"davis1997bellacoola[23-30,41-49]"
bell1243-coargument-sensitivity indexing,bell1243,coargument-sensitivity indexing,yes,AWM,"davis1997bellacoola[23-30,41-49]"
benc1235-flagging,benc1235,flagging,True,AWM;HT,"rapold2006benchnon[342,478-480]"
benc1235-indexing,benc1235,indexing,True,AWM;DI;MV,"rapold2006benchnon[342,478-480]"
benc1235-indexing-features,benc1235,indexing-features,person+number,AWM;DI;MV,"rapold2006benchnon[342,478-480]"
benc1235-tam-split,benc1235,tam-split,False,AWM;DI;HT;MV,"rapold2006benchnon[218-221,342,478-480]"
benc1235-split-s,benc1235,split-s,False,AWM;DI;HT;MV,"rapold2006benchnon[218-221,342,478-480]"
benc1235-coargument-sensitivity flagging,benc1235,coargument-sensitivity flagging,no,AWM;DI;HT;MV,"rapold2006benchnon[218-221,342,478-480]"
benc1235-coargument-sensitivity indexing,benc1235,coargument-sensitivity indexing,no,AWM;DI;HT;MV,"rapold2006benchnon[218-221,342,478-480]"
bert1248-flagging,bert1248,flagging,True,HT,"andersen1993berta[98];andersen1995berta[42,44,62-63]"
bert1248-indexing,bert1248,indexing,False,HT,"andersen1993berta[98];andersen1995berta[42,44,62-63]"
bert1248-indexing-features,bert1248,indexing-features,NA,HT,"andersen1993berta[98];andersen1995berta[42,44,62-63]"
bert1248-tam-split,bert1248,tam-split,False,HT,"andersen1993berta[100,98];andersen1995berta[42,44,62-63];neudorf2008berta[38]"
bert1248-split-s,bert1248,split-s,False,HT,"andersen1993berta[100,98];andersen1995berta[42,44,62-63];neudorf2008berta[38]"
bert1248-coargument-sensitivity flagging,bert1248,coargument-sensitivity flagging,no,HT,"andersen1993berta[100,98];andersen1995berta[42,44,62-63];neudorf2008berta[38]"
bert1248-coargument-sensitivity indexing,bert1248,coargument-sensitivity indexing,no,HT,"andersen1993berta[100,98];andersen1995berta[42,44,62-63];neudorf2008berta[38]"
bilu1245-flagging,bilu1245,flagging,False,HT,"obata2003grammar[151,289-291,47-49]"
bilu1245-indexing,bilu1245,indexing,True,HT,"obata2003grammar[151,289-291,47-49]"
bilu1245-indexing-features,bilu1245,indexing-features,person+number,HT,"obata2003grammar[151,289-291,47-49]"
bilu1245-tam-split,bilu1245,tam-split,False,HT,"obata2003grammar[151,289-291,303,309,47-49]"
bilu1245-split-s,bilu1245,split-s,False,HT,"obata2003grammar[151,289-291,303,309,47-49]"
bilu1245-coargument-sensitivity flagging,bilu1245,coargument-sensitivity flagging,no,HT,"obata2003grammar[151,289-291,303,309,47-49]"
bilu1245-coargument-sensitivity indexing,bilu1245,coargument-sensitivity indexing,no,HT,"obata2003grammar[151,289-291,303,309,47-49]"
bora1263-flagging,bora1263,flagging,True,MV,seifart2005mirana[65]
bora1263-indexing,bora1263,indexing,True,AWM;DI;MV,seifart2005mirana[65]
bora1263-indexing-features,bora1263,indexing-features,gender,AWM;DI;MV,seifart2005mirana[65]
bora1263-tam-split,bora1263,tam-split,False,AWM;DI;MV,"seifart2005mirana[58,65];seifart2015valency[1483-1484]"
bora1263-split-s,bora1263,split-s,False,AWM;DI;MV,"seifart2005mirana[58,65];seifart2015valency[1483-1484]"
bora1263-coargument-sensitivity flagging,bora1263,coargument-sensitivity flagging,no,AWM;DI;MV,"seifart2005mirana[58,65];seifart2015valency[1483-1484]"
bora1263-coargument-sensitivity indexing,bora1263,coargument-sensitivity indexing,no,AWM;DI;MV,"seifart2005mirana[58,65];seifart2015valency[1483-1484]"
boro1282-flagging,boro1282,flagging,True,DI,"crowell1979bororo[40];nonato2008bororo[48-65,91-92]"
boro1282-indexing,boro1282,indexing,True,DI,"crowell1979bororo[40];nonato2008bororo[48-65,91-92]"
boro1282-indexing-features,boro1282,indexing-features,person+number,DI,"crowell1979bororo[40];nonato2008bororo[48-65,91-92]"
boro1282-tam-split,boro1282,tam-split,False,DI,"crowell1979bororo[40];nonato2008bororo[184-192,39,48-65,70-74,91-92]"
boro1282-split-s,boro1282,split-s,True,DI,"crowell1979bororo[40];nonato2008bororo[184-192,39,48-65,70-74,91-92]"
boro1282-coargument-sensitivity flagging,boro1282,coargument-sensitivity flagging,no,DI,"crowell1979bororo[40];nonato2008bororo[184-192,39,48-65,70-74,91-92]"
boro1282-coargument-sensitivity indexing,boro1282,coargument-sensitivity indexing,no,DI,"crowell1979bororo[40];nonato2008bororo[184-192,39,48-65,70-74,91-92]"
brah1256-flagging,brah1256,flagging,True,AWM,"andronov1980brahui[49,98]"
brah1256-indexing,brah1256,indexing,True,AWM,"andronov1980brahui[49,98]"
brah1256-indexing-features,brah1256,indexing-features,person+number,AWM,"andronov1980brahui[49,98]"
brah1256-tam-split,brah1256,tam-split,True,AWM,"andronov1980brahui[49,57-70,98]"
brah1256-split-s,brah1256,split-s,False,AWM,"andronov1980brahui[49,57-70,98]"
brah1256-coargument-sensitivity flagging,brah1256,coargument-sensitivity flagging,no,AWM,"andronov1980brahui[49,57-70,98]"
brah1256-coargument-sensitivity indexing,brah1256,coargument-sensitivity indexing,no,AWM,"andronov1980brahui[49,57-70,98]"
buki1249-flagging,buki1249,flagging,False,AWM;HT,"conrad1991outline[13,16,20-21,29,86]"
buki1249-indexing,buki1249,indexing,True,AWM;DI;MV,"conrad1991outline[13,16,20-21,29,86]"
buki1249-indexing-features,buki1249,indexing-features,person+number,AWM;DI;MV,"conrad1991outline[13,16,20-21,29,86]"
buki1249-tam-split,buki1249,tam-split,False,AWM;DI;HT;MV,"conrad1991outline[10,13,15-17,20-21,29,86]"
buki1249-split-s,buki1249,split-s,True,AWM;DI;HT;MV,"conrad1991outline[10,13,15-17,20-21,29,86]"
buki1249-coargument-sensitivity flagging,buki1249,coargument-sensitivity flagging,no,AWM;DI;HT;MV,"conrad1991outline[10,13,15-17,20-21,29,86]"
buki1249-coargument-sensitivity indexing,buki1249,coargument-sensitivity indexing,no,AWM;DI;HT;MV,"conrad1991outline[10,13,15-17,20-21,29,86]"
bulo1242-flagging,bulo1242,flagging,False,MV,"bon2014grammaire[134,4]"
bulo1242-indexing,bulo1242,indexing,False,AWM;DI;MV,"bon2014grammaire[134,4]"
bulo1242-indexing-features,bulo1242,indexing-features,NA,AWM;DI;MV,"bon2014grammaire[134,4]"
bulo1242-tam-split,bulo1242,tam-split,False,AWM;DI;MV,"bon2014grammaire[134,321,4]"
bulo1242-split-s,bulo1242,split-s,False,AWM;DI;MV,"bon2014grammaire[134,321,4]"
bulo1242-coargument-sensitivity flagging,bulo1242,coargument-sensitivity flagging,no,AWM;DI;MV,"bon2014grammaire[134,321,4]"
bulo1242-coargument-sensitivity indexing,bulo1242,coargument-sensitivity indexing,no,AWM;DI;MV,"bon2014grammaire[134,321,4]"
buru1296-flagging,buru1296,flagging,True,AN,munshi2018srinagar[146-148]
buru1296-indexing,buru1296,indexing,True,AN,munshi2018srinagar[146-148]
buru1296-indexing-features,buru1296,indexing-features,person+number,AN,munshi2018srinagar[146-148]
buru1296-tam-split,buru1296,tam-split,False,AN;AWM,"anderson2001burushaski[235-237];munshi2018srinagar[146-148,87-100]"
buru1296-split-s,buru1296,split-s,True,AN;AWM,"anderson2001burushaski[235-237];munshi2018srinagar[146-148,87-100]"
buru1296-coargument-sensitivity flagging,buru1296,coargument-sensitivity flagging,no,AN;AWM,"anderson2001burushaski[235-237];munshi2018srinagar[146-148,87-100]"
buru1296-coargument-sensitivity indexing,buru1296,coargument-sensitivity indexing,no,AN;AWM,"anderson2001burushaski[235-237];munshi2018srinagar[146-148,87-100]"
cacu1241-flagging,cacu1241,flagging,True,AN,"bolanos2016kakua[183,192-193,198,202-206]"
cacu1241-indexing,cacu1241,indexing,True,AN,"bolanos2016kakua[183,192-193,198,202-206]"
cacu1241-indexing-features,cacu1241,indexing-features,person+number,AN,"bolanos2016kakua[183,192-193,198,202-206]"
cacu1241-tam-split,cacu1241,tam-split,False,AN,"bolanos2016kakua[182-187,192-193,198,202-206,242]"
cacu1241-split-s,cacu1241,split-s,False,AN,"bolanos2016kakua[182-187,192-193,198,202-206,242]"
cacu1241-coargument-sensitivity flagging,cacu1241,coargument-sensitivity flagging,no,AN,"bolanos2016kakua[182-187,192-193,198,202-206,242]"
cacu1241-coargument-sensitivity indexing,cacu1241,coargument-sensitivity indexing,no,AN,"bolanos2016kakua[182-187,192-193,198,202-206,242]"
cadd1256-flagging,cadd1256,flagging,False,AWM;HT,"melnar1998verbal[132,56,71]"
cadd1256-indexing,cadd1256,indexing,True,DI;HT,"melnar1998verbal[132,56,71]"
cadd1256-indexing-features,cadd1256,indexing-features,number;person,DI;HT,"melnar1998verbal[132,56,71]"
cadd1256-tam-split,cadd1256,tam-split,False,AWM;DI;HT,"melnar1998verbal[132,48-72]"
cadd1256-split-s,cadd1256,split-s,True,AWM;DI;HT,"melnar1998verbal[132,48-72]"
cadd1256-coargument-sensitivity flagging,cadd1256,coargument-sensitivity flagging,no,AWM;DI;HT,"melnar1998verbal[132,48-72]"
cadd1256-coargument-sensitivity indexing,cadd1256,coargument-sensitivity indexing,yes,AWM;DI;HT,"melnar1998verbal[132,48-72]"
cahu1264-flagging,cahu1264,flagging,True,HT,"seiler1977cahuilla[105-107,117-118,207,79-80]"
cahu1264-indexing,cahu1264,indexing,True,DI;HT,"seiler1977cahuilla[105-107,117-118,207,79-80]"
cahu1264-indexing-features,cahu1264,indexing-features,person+number,DI;HT,"seiler1977cahuilla[105-107,117-118,207,79-80]"
cahu1264-tam-split,cahu1264,tam-split,False,DI;HT,"seiler1977cahuilla[105-107,117-118,132-134,207,79-80]"
cahu1264-split-s,cahu1264,split-s,False,DI;HT,"seiler1977cahuilla[105-107,117-118,132-134,207,79-80]"
cahu1264-coargument-sensitivity flagging,cahu1264,coargument-sensitivity flagging,no,DI;HT,"seiler1977cahuilla[105-107,117-118,132-134,207,79-80]"
cahu1264-coargument-sensitivity indexing,cahu1264,coargument-sensitivity indexing,no,DI;HT,"seiler1977cahuilla[105-107,117-118,132-134,207,79-80]"
cams1241-flagging,cams1241,flagging,False,DI,"obrien2018kamsa[139,72]"
cams1241-indexing,cams1241,indexing,True,DI,"obrien2018kamsa[139,72]"
cams1241-indexing-features,cams1241,indexing-features,number;person;person+number,DI,"obrien2018kamsa[139,72]"
cams1241-tam-split,cams1241,tam-split,False,DI,"obrien2018kamsa[139,72,89-116]"
cams1241-split-s,cams1241,split-s,False,DI,"obrien2018kamsa[139,72,89-116]"
cams1241-coargument-sensitivity flagging,cams1241,coargument-sensitivity flagging,no,DI,"obrien2018kamsa[139,72,89-116]"
cams1241-coargument-sensitivity indexing,cams1241,coargument-sensitivity indexing,yes,DI,"obrien2018kamsa[139,72,89-116]"
cane1242-flagging,cane1242,flagging,True,DI,"miranda2014kraho[106-109,71f,76f]"
cane1242-indexing,cane1242,indexing,False,DI,"miranda2014kraho[106-109,71f,76f]"
cane1242-indexing-features,cane1242,indexing-features,NA,DI,"miranda2014kraho[106-109,71f,76f]"
