ID,Glottocode,Selector_ID,Slot,Portmanteau,Role,Reference,Co-argument_role,Co-argument_reference,TAM,DIR/INV,Exemplar,Predicate_class,Miscellaneous_condition,Source,Comment,Coder
agua1253-6,agua1253,agua1253-no-flagging,,simple,A,3sgPro,P,3sgPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-7,agua1253,agua1253-no-flagging,,simple,A,3sgPro,P,Noun,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-8,agua1253,agua1253-no-flagging,,simple,A,2sgPro,P,1plPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-9,agua1253,agua1253-no-flagging,,simple,A,2sgPro,P,1sgPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-10,agua1253,agua1253-no-flagging,,simple,A,2sgPro,P,3plPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-11,agua1253,agua1253-no-flagging,,simple,A,2sgPro,P,3sgPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-12,agua1253,agua1253-no-flagging,,simple,A,2sgPro,P,Noun,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-13,agua1253,agua1253-no-flagging,,simple,A,Noun,P,1plPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-14,agua1253,agua1253-no-flagging,,simple,A,Noun,P,1sgPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-15,agua1253,agua1253-no-flagging,,simple,A,Noun,P,2plPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-16,agua1253,agua1253-no-flagging,,simple,A,Noun,P,2sgPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-17,agua1253,agua1253-no-flagging,,simple,A,Noun,P,3plPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-18,agua1253,agua1253-no-flagging,,simple,A,Noun,P,3sgPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-19,agua1253,agua1253-no-flagging,,simple,A,Noun,P,Noun,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-20,agua1253,agua1253-no-flagging,,simple,A,3plPro,P,1plPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-21,agua1253,agua1253-no-flagging,,simple,A,3plPro,P,1sgPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-22,agua1253,agua1253-no-flagging,,simple,A,3plPro,P,2plPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-23,agua1253,agua1253-no-flagging,,simple,A,3plPro,P,2sgPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-24,agua1253,agua1253-no-flagging,,simple,A,3plPro,P,3plPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-25,agua1253,agua1253-no-flagging,,simple,A,3plPro,P,3sgPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-26,agua1253,agua1253-no-flagging,,simple,A,3plPro,P,Noun,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-27,agua1253,agua1253-no-flagging,,simple,A,1plPro,P,2plPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-28,agua1253,agua1253-no-flagging,,simple,A,1plPro,P,2sgPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-29,agua1253,agua1253-no-flagging,,simple,A,1plPro,P,3plPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-30,agua1253,agua1253-no-flagging,,simple,A,1plPro,P,3sgPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-31,agua1253,agua1253-no-flagging,,simple,A,1plPro,P,Noun,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-32,agua1253,agua1253-no-flagging,,simple,A,1sgPro,P,2plPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-33,agua1253,agua1253-no-flagging,,simple,A,1sgPro,P,2sgPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-34,agua1253,agua1253-no-flagging,,simple,A,1sgPro,P,3plPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-35,agua1253,agua1253-no-flagging,,simple,A,1sgPro,P,3sgPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-36,agua1253,agua1253-no-flagging,,simple,A,1sgPro,P,Noun,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-37,agua1253,agua1253-no-flagging,,simple,A,2plPro,P,1plPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-38,agua1253,agua1253-no-flagging,,simple,A,2plPro,P,1sgPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-39,agua1253,agua1253-no-flagging,,simple,A,2plPro,P,3plPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-40,agua1253,agua1253-no-flagging,,simple,A,2plPro,P,3sgPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-41,agua1253,agua1253-no-flagging,,simple,A,2plPro,P,Noun,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-42,agua1253,agua1253-acc-case-flagging,,simple,P,3sgPro,A,1sgPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-43,agua1253,agua1253-acc-case-flagging,,simple,P,3sgPro,A,3plPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-44,agua1253,agua1253-acc-case-flagging,,simple,P,3sgPro,A,3sgPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-45,agua1253,agua1253-acc-case-flagging,,simple,P,3sgPro,A,Noun,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-46,agua1253,agua1253-acc-case-flagging,,simple,P,2sgPro,A,1plPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-47,agua1253,agua1253-acc-case-flagging,,simple,P,2sgPro,A,1sgPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-48,agua1253,agua1253-acc-case-flagging,,simple,P,2sgPro,A,3plPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-49,agua1253,agua1253-acc-case-flagging,,simple,P,2sgPro,A,3sgPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-50,agua1253,agua1253-acc-case-flagging,,simple,P,2sgPro,A,Noun,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-51,agua1253,agua1253-acc-case-flagging,,simple,P,Noun,A,1sgPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-52,agua1253,agua1253-acc-case-flagging,,simple,P,Noun,A,3plPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-53,agua1253,agua1253-acc-case-flagging,,simple,P,Noun,A,3sgPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-54,agua1253,agua1253-acc-case-flagging,,simple,P,Noun,A,Noun,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-55,agua1253,agua1253-acc-case-flagging,,simple,P,3plPro,A,1sgPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-56,agua1253,agua1253-acc-case-flagging,,simple,P,3plPro,A,3plPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-57,agua1253,agua1253-acc-case-flagging,,simple,P,3plPro,A,3sgPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-58,agua1253,agua1253-acc-case-flagging,,simple,P,3plPro,A,Noun,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-59,agua1253,agua1253-acc-case-flagging,,simple,P,1plPro,A,3plPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-60,agua1253,agua1253-acc-case-flagging,,simple,P,1plPro,A,3sgPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-61,agua1253,agua1253-acc-case-flagging,,simple,P,1plPro,A,Noun,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-62,agua1253,agua1253-acc-case-flagging,,simple,P,1sgPro,A,2plPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-63,agua1253,agua1253-acc-case-flagging,,simple,P,1sgPro,A,2sgPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-64,agua1253,agua1253-acc-case-flagging,,simple,P,1sgPro,A,3plPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-65,agua1253,agua1253-acc-case-flagging,,simple,P,1sgPro,A,3sgPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-66,agua1253,agua1253-acc-case-flagging,,simple,P,1sgPro,A,Noun,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-67,agua1253,agua1253-acc-case-flagging,,simple,P,2plPro,A,1sgPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-68,agua1253,agua1253-acc-case-flagging,,simple,P,2plPro,A,3plPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-69,agua1253,agua1253-acc-case-flagging,,simple,P,2plPro,A,3sgPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-70,agua1253,agua1253-acc-case-flagging,,simple,P,2plPro,A,Noun,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-71,agua1253,agua1253-no-flagging,,simple,P,3sgPro,A,1plPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-72,agua1253,agua1253-no-flagging,,simple,P,3sgPro,A,2plPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-73,agua1253,agua1253-no-flagging,,simple,P,3sgPro,A,2sgPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-74,agua1253,agua1253-no-flagging,,simple,P,Noun,A,1plPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-75,agua1253,agua1253-no-flagging,,simple,P,Noun,A,2plPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-76,agua1253,agua1253-no-flagging,,simple,P,Noun,A,2sgPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-77,agua1253,agua1253-no-flagging,,simple,P,3plPro,A,1plPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-78,agua1253,agua1253-no-flagging,,simple,P,3plPro,A,2plPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-79,agua1253,agua1253-no-flagging,,simple,P,3plPro,A,2sgPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-80,agua1253,agua1253-no-flagging,,simple,P,1plPro,A,2plPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-81,agua1253,agua1253-no-flagging,,simple,P,1plPro,A,2sgPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-82,agua1253,agua1253-no-flagging,,simple,P,2plPro,A,1plPro,any,none,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-83,agua1253,agua1253-no-flagging,,NA,S,1sgPro,NA,NA,any,NA,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-84,agua1253,agua1253-no-flagging,,NA,S,1plPro,NA,NA,any,NA,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-85,agua1253,agua1253-no-flagging,,NA,S,2sgPro,NA,NA,any,NA,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-86,agua1253,agua1253-no-flagging,,NA,S,2plPro,NA,NA,any,NA,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-87,agua1253,agua1253-no-flagging,,NA,S,3sgPro,NA,NA,any,NA,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-88,agua1253,agua1253-no-flagging,,NA,S,3plPro,NA,NA,any,NA,any,default,,overall2017aguaruna[233-272],,AWM
agua1253-89,agua1253,agua1253-no-flagging,,NA,S,Noun,NA,NA,any,NA,any,default,,overall2017aguaruna[233-272],,AWM
ainu1240-1,ainu1240,ainu1240-no-flagging,,simple,A,any,P,any,any,none,any,default,,tamura2000ainu[25-92],,AWM
ainu1240-2,ainu1240,ainu1240-no-flagging,,simple,P,any,A,any,any,none,any,default,,tamura2000ainu[25-92],,AWM
ainu1240-3,ainu1240,ainu1240-no-flagging,,NA,S,any,NA,NA,any,NA,any,default,,tamura2000ainu[25-92],,AWM
akab1249-1,akab1249,akab1249-no-flagging,,simple,A,any,P,any,any,none,any,default,,zamponi2020akabea[166-170],,AWM
akab1249-2,akab1249,akab1249-no-flagging,,simple,P,Noun,A,any,any,none,any,default,,zamponi2020akabea[166-170],Pronominal forms are different for various TAM but the alignment is the same (accusative).,AWM
akab1249-3,akab1249,akab1249-acc-case-flagging,,simple,P,Pro,A,any,any,none,any,default,,zamponi2020akabea[166-170],Pronominal forms are different for various TAM but the alignment is the same (accusative).,AWM
akab1249-4,akab1249,akab1249-no-flagging,,NA,S,any,NA,NA,any,NA,any,default,,zamponi2020akabea[166-170],,AWM
alam1246-1,alam1246,alam1246-no-flagging,,NA,S,any,NA,NA,any,NA,any,default,,bruce1984alamblak[2],,AN
alam1246-2,alam1246,alam1246-no-flagging,,simple,A,any,P,any,any,none,any,default,,bruce1984alamblak[2],,AN
alam1246-3,alam1246,alam1246-no-flagging,,simple,P,any,A,any,any,none,any,default,,bruce1984alamblak[2],,AN
aleu1260-1,aleu1260,aleu1260-no-flagging,,NA,S,Pro,NA,NA,any,NA,any,default,any,bergsland1997aleut[56-58],"Bergsland only discusses object pronouns, treating the subject pronouns as only indexation. However, he then gives examples where ""object"" pronouns can be used as subjects (along with indexation): for emphasis, and for coordination. We thus treat the free pronouns as not just object pronouns but subject as well, although they are rarely used in the subject role.",DI
aleu1260-2,aleu1260,aleu1260-no-flagging,,simple,A,Pro,P,any,any,none,any,default,any,bergsland1997aleut[56-58],"Bergsland only discusses object pronouns, treating the subject pronouns as only indexation. However, he then gives examples where ""object"" pronouns can be used as subjects (along with indexation): for emphasis, and for coordination. We thus treat the free pronouns as not just object pronouns but subject as well, although they are rarely used in the subject role.",DI
aleu1260-3,aleu1260,aleu1260-no-flagging,,simple,P,Pro,A,any,any,none,any,default,any,bergsland1997aleut[56-58],,DI
aleu1260-4,aleu1260,aleu1260-absolutive-flagging,,NA,S,Noun,NA,NA,any,NA,any,default,any,"bergsland1997aleut[126,47,54]",,DI
aleu1260-5,aleu1260,aleu1260-absolutive-flagging,,simple,A,Noun,P,any,any,none,any,default,overt P,"bergsland1997aleut[126,47,54]",,DI
aleu1260-6,aleu1260,aleu1260-relative-flagging,,simple,A,Noun,P,any,any,none,any,default,no overt P,"bergsland1997aleut[126,47,54]",,DI
aleu1260-7,aleu1260,aleu1260-absolutive-flagging,,simple,P,Noun,A,any,any,none,any,default,any,"bergsland1997aleut[126,47,54]",,DI
alse1251-1,alse1251,alse1251-no-flagging,,NA,S,Noun-high,NA,NA,any,NA,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-2,alse1251,alse1251-no-flagging,,NA,S,Noun-low,NA,NA,any,NA,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-3,alse1251,alse1251-no-flagging,,simple,A,Noun-high,P,any,any,none,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-4,alse1251,alse1251-discriminative-form-flagging,,simple,A,Noun-low,P,any,any,none,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",Inanimate A or emphasized A,HT;AWM
alse1251-5,alse1251,alse1251-no-flagging,,simple,P,Noun-high,A,any,any,none,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-6,alse1251,alse1251-no-flagging,,simple,P,Noun-low,A,any,any,none,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-7,alse1251,alse1251-no-flagging,,NA,S,1sgPro,NA,NA,any,NA,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-8,alse1251,alse1251-no-flagging,,NA,S,2sgPro,NA,NA,any,NA,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-9,alse1251,alse1251-no-flagging,,NA,S,3sgPro,NA,NA,any,NA,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-10,alse1251,alse1251-no-flagging,,NA,S,1du.inclPro,NA,NA,any,NA,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-11,alse1251,alse1251-no-flagging,,NA,S,1du.exclPro,NA,NA,any,NA,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-12,alse1251,alse1251-no-flagging,,NA,S,2duPro,NA,NA,any,NA,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-13,alse1251,alse1251-no-flagging,,NA,S,3duPro,NA,NA,any,NA,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-14,alse1251,alse1251-no-flagging,,NA,S,1pl.inclPro,NA,NA,any,NA,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-15,alse1251,alse1251-no-flagging,,NA,S,1pl.exclPro,NA,NA,any,NA,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-16,alse1251,alse1251-no-flagging,,NA,S,2plPro,NA,NA,any,NA,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-17,alse1251,alse1251-no-flagging,,NA,S,3plPro,NA,NA,any,NA,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-18,alse1251,alse1251-discriminative-form-flagging,,simple,A,1sgPro,P,NA,any,none,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-19,alse1251,alse1251-discriminative-form-flagging,,simple,A,2sgPro,P,NA,any,none,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-20,alse1251,alse1251-discriminative-form-flagging,,simple,A,3sgPro,P,NA,any,none,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-21,alse1251,alse1251-discriminative-form-flagging,,simple,A,1du.inclPro,P,NA,any,none,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-22,alse1251,alse1251-discriminative-form-flagging,,simple,A,1du.exclPro,P,NA,any,none,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-23,alse1251,alse1251-discriminative-form-flagging,,simple,A,2duPro,P,NA,any,none,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-24,alse1251,alse1251-discriminative-form-flagging,,simple,A,3duPro,P,NA,any,none,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-25,alse1251,alse1251-discriminative-form-flagging,,simple,A,1pl.inclPro,P,NA,any,none,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-26,alse1251,alse1251-discriminative-form-flagging,,simple,A,1pl.exclPro,P,NA,any,none,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-27,alse1251,alse1251-discriminative-form-flagging,,simple,A,2plPro,P,NA,any,none,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-28,alse1251,alse1251-discriminative-form-flagging,,simple,A,3plPro,P,NA,any,none,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-29,alse1251,alse1251-objective-form-flagging,,simple,P,1sgPro,A,NA,any,none,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-30,alse1251,alse1251-no-flagging,,simple,P,2sgPro,A,NA,any,none,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-31,alse1251,alse1251-objective-form-flagging,,simple,P,3sgPro,A,NA,any,none,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-32,alse1251,alse1251-objective-form-flagging,,simple,P,1du.inclPro,A,NA,any,none,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-33,alse1251,alse1251-objective-form-flagging,,simple,P,1du.exclPro,A,NA,any,none,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-34,alse1251,alse1251-no-flagging,,simple,P,2duPro,A,NA,any,none,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-35,alse1251,alse1251-objective-form-flagging,,simple,P,3duPro,A,NA,any,none,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-36,alse1251,alse1251-objective-form-flagging,,simple,P,1pl.inclPro,A,NA,any,none,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-37,alse1251,alse1251-objective-form-flagging,,simple,P,1pl.exclPro,A,NA,any,none,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-38,alse1251,alse1251-no-flagging,,simple,P,2plPro,A,NA,any,none,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
alse1251-39,alse1251,alse1251-objective-form-flagging,,simple,P,3plPro,A,NA,any,none,any,default,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",,HT;AWM
amar1274-1,amar1274,amar1274-no-flagging,,NA,S,any,NA,NA,any,NA,any,default,default,"chavez1984amarakaeri[165,253-254,432,441,492]",,HT
amar1274-2,amar1274,amar1274-nom-marking-a-flagging,,NA,S,any,NA,NA,any,NA,any,default,unclear situation,"chavez1984amarakaeri[165,253-254,432,441,492]",,HT
amar1274-3,amar1274,amar1274-no-flagging,,simple,A,any,P,any,any,none,any,default,default,"chavez1984amarakaeri[165,253-254,432,441,492]",,HT
amar1274-4,amar1274,amar1274-nom-marking-a-flagging,,simple,A,any,P,any,any,none,any,default,unclear situation,"chavez1984amarakaeri[165,253-254,432,441,492]",,HT
amar1274-5,amar1274,amar1274-acc-marking-ta-flagging,,simple,P,any,A,any,any,none,any,default,any,"chavez1984amarakaeri[165,253-254,432,441,492]",,HT
ando1256-1,ando1256,ando1256-no-flagging,,NA,S,Noun,NA,NA,any,NA,any,default,,landaburu1979andoke[107],,MV; NCP
ando1256-2,ando1256,ando1256-no-flagging,,simple,A,Noun,P,any,any,none,any,default,,landaburu1979andoke[107],,MV; NCP
ando1256-3,ando1256,ando1256-no-flagging,,simple,P,Noun,A,any,any,none,any,default,,landaburu1979andoke[107],,MV; NCP
ando1256-4,ando1256,ando1256-no-flagging,,NA,S,Pro,NA,NA,any,NA,any,default,,landaburu1979andoke[156],"The source analyses a morpheme 'ə attached to bound ""pronominal bases"" as a nominative case. We think this is essentially a dummy element to derive pronouns, as all other cases are oblique.",MV; NCP
ando1256-5,ando1256,ando1256-no-flagging,,simple,A,Pro,P,any,any,none,any,default,,landaburu1979andoke[156],"The source analyses a morpheme 'ə attached to bound ""pronominal bases"" as a nominative case. We think this is essentially a dummy element to derive pronouns, as all other cases are oblique.",MV; NCP
ando1256-6,ando1256,ando1256-no-flagging,,simple,P,Pro,A,any,any,none,any,default,,landaburu1979andoke[156],"The source analyses a morpheme 'ə attached to bound ""pronominal bases"" as a nominative case. We think this is essentially a dummy element to derive pronouns, as all other cases are oblique.",MV; NCP
apur1254-1,apur1254,apur1254-no-flagging,,simple,A,any,P,any,any,none,any,default,,"facundes2000apurina[149f,345-346]",,DI
apur1254-2,apur1254,apur1254-no-flagging,,simple,P,any,A,any,any,none,any,default,,"facundes2000apurina[149f,345-346]",,DI
apur1254-3,apur1254,apur1254-no-flagging,,NA,S,any,NA,NA,any,NA,any,default,,"facundes2000apurina[149f,345-346]",,DI
ariz1237-1,ariz1237,ariz1237-no-flagging,,NA,S,any,NA,NA,any,NA,any,default,,"kroskrity1977arizonatewa[107,117,170,179,86]",,DI
ariz1237-2,ariz1237,ariz1237-no-flagging,,simple,P,any,A,any,any,none,any,default,,"kroskrity1977arizonatewa[107,117,170,179,86]",,DI
ariz1237-3,ariz1237,ariz1237-no-flagging,,simple,A,1Pro,P,3Pro-high,any,none,any,default,,"kroskrity1977arizonatewa[107,117,170,179,86]",,DI
ariz1237-4,ariz1237,ariz1237-no-flagging,,simple,A,1Pro,P,3Pro-low,any,none,any,default,,"kroskrity1977arizonatewa[107,117,170,179,86]",,DI
ariz1237-5,ariz1237,ariz1237-no-flagging,,simple,A,1Pro,P,Noun-high,any,none,any,default,,"kroskrity1977arizonatewa[107,117,170,179,86]",,DI
ariz1237-6,ariz1237,ariz1237-no-flagging,,simple,A,1Pro,P,Noun-low,any,none,any,default,,"kroskrity1977arizonatewa[107,117,170,179,86]",,DI
ariz1237-7,ariz1237,ariz1237-no-flagging,,simple,A,2Pro,P,3Pro-high,any,none,any,default,,"kroskrity1977arizonatewa[107,117,170,179,86]",,DI
ariz1237-8,ariz1237,ariz1237-no-flagging,,simple,A,2Pro,P,3Pro-low,any,none,any,default,,"kroskrity1977arizonatewa[107,117,170,179,86]",,DI
